"grid...1.";"grid...2.";"krigagem2.predict"
-21,601;-51,522;152,442358765806
-21,551;-51,522;150,272458186263
-21,501;-51,522;148,476459460479
-21,451;-51,522;147,621964374979
-21,401;-51,522;147,953279904607
-21,351;-51,522;149,279607906955
-21,301;-51,522;151,108600750403
-21,251;-51,522;152,912624928071
-21,201;-51,522;154,344502349192
-21,151;-51,522;155,29895086285
-21,101;-51,522;155,844358295846
-21,051;-51,522;156,114657776047
-21,001;-51,522;156,231676510047
-20,951;-51,522;156,276143374319
-20,901;-51,522;156,29102492462
-20,851;-51,522;156,295421875359
-20,801;-51,522;156,296570931553
-20,751;-51,522;156,296836897519
-20,701;-51,522;156,296891483557
-20,651;-51,522;156,296901425817
-20,601;-51,522;156,296903034016
-20,551;-51,522;156,296903265165
-20,501;-51,522;156,296903294701
-20,451;-51,522;156,296903298057
-20,401;-51,522;156,296903298397
-20,351;-51,522;156,296903298427
-20,301;-51,522;156,29690329843
-25,001;-51,472;156,29690329843
-24,951;-51,472;156,29690329843
-24,901;-51,472;156,29690329843
-24,851;-51,472;156,29690329843
-24,801;-51,472;156,29690329843
-24,751;-51,472;156,29690329843
-24,701;-51,472;156,29690329843
-24,651;-51,472;156,29690329843
-24,601;-51,472;156,29690329843
-24,551;-51,472;156,29690329843
-24,501;-51,472;156,29690329843
-24,451;-51,472;156,29690329843
-24,401;-51,472;156,29690329843
-24,351;-51,472;156,29690329843
-24,301;-51,472;156,29690329843
-24,251;-51,472;156,29690329843
-24,201;-51,472;156,29690329843
-24,151;-51,472;156,29690329843
-24,101;-51,472;156,29690329843
-24,051;-51,472;156,29690329843
-24,001;-51,472;156,29690329843
-23,951;-51,472;156,29690329843
-23,901;-51,472;156,29690329843
-23,851;-51,472;156,29690329843
-23,801;-51,472;156,29690329843
-23,751;-51,472;156,29690329843
-23,701;-51,472;156,29690329843
-23,651;-51,472;156,29690329843
-23,601;-51,472;156,29690329843
-23,551;-51,472;156,29690329843
-23,501;-51,472;156,29690329843
-23,451;-51,472;156,29690329843
-23,401;-51,472;156,29690329843
-23,351;-51,472;156,29690329843
-23,301;-51,472;156,29690329843
-23,251;-51,472;156,29690329843
-23,201;-51,472;156,29690329843
-23,151;-51,472;156,29690329843
